Num_Adults,Num_Children,Num_Week_Nights,Meal_Type,Car_Parking_Space,Room_Type,Lead_Time,Market_Segment_Type,Repeated,AVG_Price,Special_Requests,Booking_Status
0.25,0.3333333333333333,0.4545454545454546,0.0,0.0,0.0,0.5056433408577877,0.75,0.0,0.43866283466949024,0.0,1
0.25,0.0,0.2727272727272727,1.0,0.0,0.0,0.01128668171557562,1.0,0.0,0.5328492915847325,0.2,1
0.5,0.3333333333333333,0.2727272727272727,0.0,0.0,0.0,0.002257336343115124,1.0,0.0,0.2470629758483336,0.0,0
0.25,0.0,0.18181818181818182,0.0,0.0,0.0,0.47629796839729116,1.0,0.0,0.49916805324459235,0.2,0
0.25,0.0,0.18181818181818182,1.0,0.0,0.0,0.10835214446952596,1.0,0.0,0.3831997176423133,0.0,0
0.25,0.0,0.18181818181818182,0.3333333333333333,0.0,0.0,0.7810383747178329,0.75,0.0,0.49916805324459235,0.2,0
0.25,0.3333333333333333,0.36363636363636365,0.0,0.0,0.0,0.07674943566591422,1.0,0.0,0.5372359199314274,0.2,1
0.75,0.0,0.2727272727272727,0.0,0.0,0.5,0.1873589164785553,1.0,0.0,0.5274542429284526,0.2,1
0.25,0.3333333333333333,0.36363636363636365,0.0,0.0,0.0,0.27313769751693,0.75,0.0,0.4835375384460243,0.2,1
0.5,0.0,0.4545454545454546,0.0,0.0,0.5,0.09932279909706546,1.0,0.0,0.6677759290072102,0.6000000000000001,1
0.25,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.4236877930721525,0.0,1
0.25,0.0,0.09090909090909091,0.0,0.0,0.5,0.07900677200902934,1.0,0.0,0.7028689557807695,0.2,1
0.5,0.0,0.09090909090909091,1.0,0.0,0.0,0.06772009029345372,1.0,0.0,0.43866283466949024,0.0,0
0.25,0.0,0.0,0.0,0.0,0.0,0.21444695259593677,1.0,0.0,0.4487470377653406,0.4,0
0.5,0.0,0.18181818181818182,0.0,0.0,0.0,0.10609480812641083,1.0,0.0,0.47143649473100385,0.4,1
0.5,0.0,0.18181818181818182,0.3333333333333333,0.0,0.0,0.5778781038374717,1.0,0.0,0.5747995764634699,0.2,0
0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.47899964705289166,0.0,1
0.5,0.0,0.2727272727272727,1.0,0.0,0.0,0.002257336343115124,1.0,0.0,0.47899964705289166,0.2,1
0.5,0.0,0.18181818181818182,0.0,0.0,0.0,0.22347629796839727,1.0,0.0,0.3226944990672112,0.0,0
0.5,0.0,0.0,0.0,0.0,0.0,0.02708803611738149,0.75,0.0,0.35798920990268746,0.0,1
0.5,0.0,0.18181818181818182,0.0,0.0,0.0,0.22347629796839727,1.0,0.0,0.3226944990672112,0.0,0
0.25,0.0,0.09090909090909091,0.0,0.0,0.0,0.2753950338600451,0.5,0.0,0.33277870216306155,0.0,1
0.5,0.0,0.36363636363636365,0.0,0.0,0.0,0.004514672686230248,0.75,0.0,0.42353653002571473,0.0,1
0.5,0.0,0.2727272727272727,0.0,0.0,0.0,0.08352144469525959,0.75,0.0,0.5243785609842182,0.0,1
